date,value,country,freq,unit,var,base,year,month,quarter
1997Q1,2056.3725,EA19,q,meur,gdppot,2015,1997,3,1
1997Q2,2067.759375,EA19,q,meur,gdppot,2015,1997,6,2
1997Q3,2079.14625,EA19,q,meur,gdppot,2015,1997,9,3
1997Q4,2090.533125,EA19,q,meur,gdppot,2015,1997,12,4
1998Q1,2101.92,EA19,q,meur,gdppot,2015,1998,3,1
1998Q2,2114.014375,EA19,q,meur,gdppot,2015,1998,6,2
1998Q3,2126.1087500000003,EA19,q,meur,gdppot,2015,1998,9,3
1998Q4,2138.203125,EA19,q,meur,gdppot,2015,1998,12,4
1999Q1,2150.2975,EA19,q,meur,gdppot,2015,1999,3,1
1999Q2,2162.670625,EA19,q,meur,gdppot,2015,1999,6,2
1999Q3,2175.04375,EA19,q,meur,gdppot,2015,1999,9,3
1999Q4,2187.416875,EA19,q,meur,gdppot,2015,1999,12,4
2000Q1,2199.79,EA19,q,meur,gdppot,2015,2000,3,1
2000Q2,2211.911875,EA19,q,meur,gdppot,2015,2000,6,2
2000Q3,2224.03375,EA19,q,meur,gdppot,2015,2000,9,3
2000Q4,2236.1556250000003,EA19,q,meur,gdppot,2015,2000,12,4
2001Q1,2248.2775,EA19,q,meur,gdppot,2015,2001,3,1
2001Q2,2259.19875,EA19,q,meur,gdppot,2015,2001,6,2
2001Q3,2270.12,EA19,q,meur,gdppot,2015,2001,9,3
2001Q4,2281.04125,EA19,q,meur,gdppot,2015,2001,12,4
2002Q1,2291.9625,EA19,q,meur,gdppot,2015,2002,3,1
2002Q2,2302.715,EA19,q,meur,gdppot,2015,2002,6,2
2002Q3,2313.4674999999997,EA19,q,meur,gdppot,2015,2002,9,3
2002Q4,2324.22,EA19,q,meur,gdppot,2015,2002,12,4
2003Q1,2334.9725,EA19,q,meur,gdppot,2015,2003,3,1
2003Q2,2345.9425,EA19,q,meur,gdppot,2015,2003,6,2
2003Q3,2356.9125,EA19,q,meur,gdppot,2015,2003,9,3
2003Q4,2367.8824999999997,EA19,q,meur,gdppot,2015,2003,12,4
2004Q1,2378.8525,EA19,q,meur,gdppot,2015,2004,3,1
2004Q2,2389.3199999999997,EA19,q,meur,gdppot,2015,2004,6,2
2004Q3,2399.7875,EA19,q,meur,gdppot,2015,2004,9,3
2004Q4,2410.255,EA19,q,meur,gdppot,2015,2004,12,4
2005Q1,2420.7225,EA19,q,meur,gdppot,2015,2005,3,1
2005Q2,2431.675625,EA19,q,meur,gdppot,2015,2005,6,2
2005Q3,2442.62875,EA19,q,meur,gdppot,2015,2005,9,3
2005Q4,2453.581875,EA19,q,meur,gdppot,2015,2005,12,4
2006Q1,2464.535,EA19,q,meur,gdppot,2015,2006,3,1
2006Q2,2475.836875,EA19,q,meur,gdppot,2015,2006,6,2
2006Q3,2487.13875,EA19,q,meur,gdppot,2015,2006,9,3
2006Q4,2498.4406249999997,EA19,q,meur,gdppot,2015,2006,12,4
2007Q1,2509.7425,EA19,q,meur,gdppot,2015,2007,3,1
2007Q2,2518.9275,EA19,q,meur,gdppot,2015,2007,6,2
2007Q3,2528.1125,EA19,q,meur,gdppot,2015,2007,9,3
2007Q4,2537.2975,EA19,q,meur,gdppot,2015,2007,12,4
2008Q1,2546.4825,EA19,q,meur,gdppot,2015,2008,3,1
2008Q2,2551.028125,EA19,q,meur,gdppot,2015,2008,6,2
2008Q3,2555.57375,EA19,q,meur,gdppot,2015,2008,9,3
2008Q4,2560.119375,EA19,q,meur,gdppot,2015,2008,12,4
2009Q1,2564.665,EA19,q,meur,gdppot,2015,2009,3,1
2009Q2,2568.624375,EA19,q,meur,gdppot,2015,2009,6,2
2009Q3,2572.58375,EA19,q,meur,gdppot,2015,2009,9,3
2009Q4,2576.543125,EA19,q,meur,gdppot,2015,2009,12,4
2010Q1,2580.5025,EA19,q,meur,gdppot,2015,2010,3,1
2010Q2,2585.024375,EA19,q,meur,gdppot,2015,2010,6,2
2010Q3,2589.5462500000003,EA19,q,meur,gdppot,2015,2010,9,3
2010Q4,2594.0681250000002,EA19,q,meur,gdppot,2015,2010,12,4
2011Q1,2598.59,EA19,q,meur,gdppot,2015,2011,3,1
2011Q2,2602.1018750000003,EA19,q,meur,gdppot,2015,2011,6,2
2011Q3,2605.61375,EA19,q,meur,gdppot,2015,2011,9,3
2011Q4,2609.1256249999997,EA19,q,meur,gdppot,2015,2011,12,4
2012Q1,2612.6375,EA19,q,meur,gdppot,2015,2012,3,1
2012Q2,2616.990625,EA19,q,meur,gdppot,2015,2012,6,2
2012Q3,2621.34375,EA19,q,meur,gdppot,2015,2012,9,3
2012Q4,2625.696875,EA19,q,meur,gdppot,2015,2012,12,4
2013Q1,2630.05,EA19,q,meur,gdppot,2015,2013,3,1
2013Q2,2635.3625,EA19,q,meur,gdppot,2015,2013,6,2
2013Q3,2640.675,EA19,q,meur,gdppot,2015,2013,9,3
2013Q4,2645.9875,EA19,q,meur,gdppot,2015,2013,12,4
2014Q1,2651.3,EA19,q,meur,gdppot,2015,2014,3,1
2014Q2,2659.800625,EA19,q,meur,gdppot,2015,2014,6,2
2014Q3,2668.30125,EA19,q,meur,gdppot,2015,2014,9,3
2014Q4,2676.801875,EA19,q,meur,gdppot,2015,2014,12,4
2015Q1,2685.3025,EA19,q,meur,gdppot,2015,2015,3,1
2015Q2,2691.779375,EA19,q,meur,gdppot,2015,2015,6,2
2015Q3,2698.25625,EA19,q,meur,gdppot,2015,2015,9,3
2015Q4,2704.7331249999997,EA19,q,meur,gdppot,2015,2015,12,4
2016Q1,2711.21,EA19,q,meur,gdppot,2015,2016,3,1
2016Q2,2718.98125,EA19,q,meur,gdppot,2015,2016,6,2
2016Q3,2726.7525,EA19,q,meur,gdppot,2015,2016,9,3
2016Q4,2734.5237500000003,EA19,q,meur,gdppot,2015,2016,12,4
2017Q1,2742.295,EA19,q,meur,gdppot,2015,2017,3,1
2017Q2,2750.6525,EA19,q,meur,gdppot,2015,2017,6,2
2017Q3,2759.01,EA19,q,meur,gdppot,2015,2017,9,3
2017Q4,2767.3675,EA19,q,meur,gdppot,2015,2017,12,4
2018Q1,2775.725,EA19,q,meur,gdppot,2015,2018,3,1
2018Q2,2784.085,EA19,q,meur,gdppot,2015,2018,6,2
2018Q3,2792.4449999999997,EA19,q,meur,gdppot,2015,2018,9,3
2018Q4,2800.805,EA19,q,meur,gdppot,2015,2018,12,4
2019Q1,2809.165,EA19,q,meur,gdppot,2015,2019,3,1
2019Q2,2815.666875,EA19,q,meur,gdppot,2015,2019,6,2
2019Q3,2822.16875,EA19,q,meur,gdppot,2015,2019,9,3
2019Q4,2828.670625,EA19,q,meur,gdppot,2015,2019,12,4
2020Q1,2835.1725,EA19,q,meur,gdppot,2015,2020,3,1
2020Q2,2842.890625,EA19,q,meur,gdppot,2015,2020,6,2
2020Q3,2850.6087500000003,EA19,q,meur,gdppot,2015,2020,9,3
2020Q4,2858.326875,EA19,q,meur,gdppot,2015,2020,12,4
2021Q1,2866.045,EA19,q,meur,gdppot,2015,2021,3,1
2021Q2,2875.380625,EA19,q,meur,gdppot,2015,2021,6,2
2021Q3,2884.71625,EA19,q,meur,gdppot,2015,2021,9,3
2021Q4,2894.051875,EA19,q,meur,gdppot,2015,2021,12,4
2022Q1,2903.3875,EA19,q,meur,gdppot,2015,2022,3,1
2022Q2,2912.7775,EA19,q,meur,gdppot,2015,2022,6,2
2022Q3,2922.1675,EA19,q,meur,gdppot,2015,2022,9,3
2022Q4,2931.5575,EA19,q,meur,gdppot,2015,2022,12,4
2023Q1,2940.9475,EA19,q,meur,gdppot,2015,2023,3,1
2023Q2,2951.573125,EA19,q,meur,gdppot,2015,2023,6,2
2023Q3,2962.19875,EA19,q,meur,gdppot,2015,2023,9,3
2023Q4,2972.824375,EA19,q,meur,gdppot,2015,2023,12,4
2024Q1,2983.45,EA19,q,meur,gdppot,2015,2024,3,1
2024Q2,2983.45,EA19,q,meur,gdppot,2015,2024,6,2
2024Q3,2983.45,EA19,q,meur,gdppot,2015,2024,9,3
2024Q4,2983.45,EA19,q,meur,gdppot,2015,2024,12,4
