date,value,freq,unit,var,base,year,quarter,month,country
1995Q1,1406.9829,q,beur,nominal_gdp,,1995,1,3,EA19
1995Q2,1425.2744,q,beur,nominal_gdp,,1995,2,6,EA19
1995Q3,1447.7278999999999,q,beur,nominal_gdp,,1995,3,9,EA19
1995Q4,1461.9583,q,beur,nominal_gdp,,1995,4,12,EA19
1996Q1,1475.3083000000001,q,beur,nominal_gdp,,1996,1,3,EA19
1996Q2,1493.2058,q,beur,nominal_gdp,,1996,2,6,EA19
1996Q3,1507.2564,q,beur,nominal_gdp,,1996,3,9,EA19
1996Q4,1510.4416,q,beur,nominal_gdp,,1996,4,12,EA19
1997Q1,1508.9266,q,beur,nominal_gdp,,1997,1,3,EA19
1997Q2,1523.3456999999999,q,beur,nominal_gdp,,1997,2,6,EA19
1997Q3,1538.785,q,beur,nominal_gdp,,1997,3,9,EA19
1997Q4,1562.2973,q,beur,nominal_gdp,,1997,4,12,EA19
1998Q1,1569.6929,q,beur,nominal_gdp,,1998,1,3,EA19
1998Q2,1584.9376000000002,q,beur,nominal_gdp,,1998,2,6,EA19
1998Q3,1602.0729,q,beur,nominal_gdp,,1998,3,9,EA19
1998Q4,1620.6853999999998,q,beur,nominal_gdp,,1998,4,12,EA19
1999Q1,1639.4125,q,beur,nominal_gdp,,1999,1,3,EA19
1999Q2,1651.2978,q,beur,nominal_gdp,,1999,2,6,EA19
1999Q3,1674.172,q,beur,nominal_gdp,,1999,3,9,EA19
1999Q4,1698.4002,q,beur,nominal_gdp,,1999,4,12,EA19
2000Q1,1725.6489,q,beur,nominal_gdp,,2000,1,3,EA19
2000Q2,1747.3331,q,beur,nominal_gdp,,2000,2,6,EA19
2000Q3,1766.0072,q,beur,nominal_gdp,,2000,3,9,EA19
2000Q4,1785.7948000000001,q,beur,nominal_gdp,,2000,4,12,EA19
2001Q1,1817.9698,q,beur,nominal_gdp,,2001,1,3,EA19
2001Q2,1829.7273,q,beur,nominal_gdp,,2001,2,6,EA19
2001Q3,1845.6222,q,beur,nominal_gdp,,2001,3,9,EA19
2001Q4,1860.6361000000002,q,beur,nominal_gdp,,2001,4,12,EA19
2002Q1,1876.0932,q,beur,nominal_gdp,,2002,1,3,EA19
2002Q2,1891.051,q,beur,nominal_gdp,,2002,2,6,EA19
2002Q3,1913.0858,q,beur,nominal_gdp,,2002,3,9,EA19
2002Q4,1923.808,q,beur,nominal_gdp,,2002,4,12,EA19
2003Q1,1929.7821000000001,q,beur,nominal_gdp,,2003,1,3,EA19
2003Q2,1943.2388999999998,q,beur,nominal_gdp,,2003,2,6,EA19
2003Q3,1968.6281999999999,q,beur,nominal_gdp,,2003,3,9,EA19
2003Q4,1985.0446000000002,q,beur,nominal_gdp,,2003,4,12,EA19
2004Q1,2006.0833,q,beur,nominal_gdp,,2004,1,3,EA19
2004Q2,2030.4541000000002,q,beur,nominal_gdp,,2004,2,6,EA19
2004Q3,2042.6508999999999,q,beur,nominal_gdp,,2004,3,9,EA19
2004Q4,2060.9463,q,beur,nominal_gdp,,2004,4,12,EA19
2005Q1,2073.9373,q,beur,nominal_gdp,,2005,1,3,EA19
2005Q2,2096.2761,q,beur,nominal_gdp,,2005,2,6,EA19
2005Q3,2120.6941,q,beur,nominal_gdp,,2005,3,9,EA19
2005Q4,2149.2506000000003,q,beur,nominal_gdp,,2005,4,12,EA19
2006Q1,2174.703,q,beur,nominal_gdp,,2006,1,3,EA19
2006Q2,2211.4724,q,beur,nominal_gdp,,2006,2,6,EA19
2006Q3,2237.2792999999997,q,beur,nominal_gdp,,2006,3,9,EA19
2006Q4,2275.1403,q,beur,nominal_gdp,,2006,4,12,EA19
2007Q1,2308.2254,q,beur,nominal_gdp,,2007,1,3,EA19
2007Q2,2335.1495,q,beur,nominal_gdp,,2007,2,6,EA19
2007Q3,2358.444,q,beur,nominal_gdp,,2007,3,9,EA19
2007Q4,2389.7005,q,beur,nominal_gdp,,2007,4,12,EA19
2008Q1,2412.2296,q,beur,nominal_gdp,,2008,1,3,EA19
2008Q2,2417.9937,q,beur,nominal_gdp,,2008,2,6,EA19
2008Q3,2410.6846,q,beur,nominal_gdp,,2008,3,9,EA19
2008Q4,2375.4973,q,beur,nominal_gdp,,2008,4,12,EA19
2009Q1,2311.5194,q,beur,nominal_gdp,,2009,1,3,EA19
2009Q2,2307.6746000000003,q,beur,nominal_gdp,,2009,2,6,EA19
2009Q3,2317.652,q,beur,nominal_gdp,,2009,3,9,EA19
2009Q4,2333.5488,q,beur,nominal_gdp,,2009,4,12,EA19
2010Q1,2346.5193,q,beur,nominal_gdp,,2010,1,3,EA19
2010Q2,2371.8233,q,beur,nominal_gdp,,2010,2,6,EA19
2010Q3,2392.7062,q,beur,nominal_gdp,,2010,3,9,EA19
2010Q4,2412.1609,q,beur,nominal_gdp,,2010,4,12,EA19
2011Q1,2438.3039,q,beur,nominal_gdp,,2011,1,3,EA19
2011Q2,2444.251,q,beur,nominal_gdp,,2011,2,6,EA19
2011Q3,2455.1724,q,beur,nominal_gdp,,2011,3,9,EA19
2011Q4,2454.6413,q,beur,nominal_gdp,,2011,4,12,EA19
2012Q1,2456.8179,q,beur,nominal_gdp,,2012,1,3,EA19
2012Q2,2457.2448,q,beur,nominal_gdp,,2012,2,6,EA19
2012Q3,2463.6333999999997,q,beur,nominal_gdp,,2012,3,9,EA19
2012Q4,2459.8085,q,beur,nominal_gdp,,2012,4,12,EA19
2013Q1,2462.3236,q,beur,nominal_gdp,,2013,1,3,EA19
2013Q2,2483.2309,q,beur,nominal_gdp,,2013,2,6,EA19
2013Q3,2493.9112999999998,q,beur,nominal_gdp,,2013,3,9,EA19
2013Q4,2503.2843,q,beur,nominal_gdp,,2013,4,12,EA19
2014Q1,2526.4486,q,beur,nominal_gdp,,2014,1,3,EA19
2014Q2,2534.1952,q,beur,nominal_gdp,,2014,2,6,EA19
2014Q3,2549.9482000000003,q,beur,nominal_gdp,,2014,3,9,EA19
2014Q4,2567.0314,q,beur,nominal_gdp,,2014,4,12,EA19
2015Q1,2598.7373,q,beur,nominal_gdp,,2015,1,3,EA19
2015Q2,2619.9355,q,beur,nominal_gdp,,2015,2,6,EA19
2015Q3,2639.851,q,beur,nominal_gdp,,2015,3,9,EA19
2015Q4,2656.6216,q,beur,nominal_gdp,,2015,4,12,EA19
2016Q1,2678.1846,q,beur,nominal_gdp,,2016,1,3,EA19
2016Q2,2689.0121,q,beur,nominal_gdp,,2016,2,6,EA19
2016Q3,2707.7182000000003,q,beur,nominal_gdp,,2016,3,9,EA19
2016Q4,2731.5182999999997,q,beur,nominal_gdp,,2016,4,12,EA19
2017Q1,2759.8044,q,beur,nominal_gdp,,2017,1,3,EA19
2017Q2,2793.8327000000004,q,beur,nominal_gdp,,2017,2,6,EA19
2017Q3,2821.2891,q,beur,nominal_gdp,,2017,3,9,EA19
2017Q4,2855.3774,q,beur,nominal_gdp,,2017,4,12,EA19
