,value,year,country,var,full_name,freq,unit,base,quarter,month
1995Q1,,1995,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,1,3
1995Q2,,1995,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,2,6
1995Q3,,1995,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,3,9
1995Q4,,1995,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,4,12
1996Q1,,1996,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,1,3
1996Q2,,1996,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,2,6
1996Q3,,1996,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,3,9
1996Q4,,1996,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,4,12
1997Q1,-36.87866345272886,1997,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,1,3
1997Q2,-36.479822254669436,1997,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,2,6
1997Q3,-36.0205872149411,1997,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,3,9
1997Q4,-35.05034143878349,1997,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,4,12
1998Q1,-35.121288102795404,1998,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,1,3
1998Q2,-34.72853132816276,1998,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,2,6
1998Q3,-34.223674120198844,1998,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,3,9
1998Q4,-33.63583323380483,1998,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,4,12
1999Q1,-33.05099221319718,1999,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,1,3
1999Q2,-32.90239976635574,1999,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,2,6
1999Q3,-32.097172800299134,1999,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,3,9
1999Q4,-31.227625278321813,1999,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,4,12
2000Q1,-30.20004110224379,2000,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,1,3
2000Q2,-29.50082240788383,2000,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,2,6
2000Q3,-28.984303586965066,2000,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,3,9
2000Q4,-28.413623378645525,2000,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,4,12
2001Q1,-27.168564693772534,2001,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,1,3
2001Q2,-27.00849390879876,2001,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,2,6
2001Q3,-26.625790053896292,2001,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,3,9
2001Q4,-26.295527222531057,2001,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,4,12
2002Q1,-25.945857136190842,2002,EA19,GAP,Output gap as a percentage of potential GDP,q,percentage,2015,1,3
