date,value,freq,unit,var,base,year,quarter,month,country
1995Q1,1326.051806978356,q,bclv,real_gdp,2015,1995,1,3,EA19
1995Q2,1343.291161221641,q,bclv,real_gdp,2015,1995,2,6,EA19
1995Q3,1364.4531129752752,q,bclv,real_gdp,2015,1995,3,9,EA19
1995Q4,1377.8649658371864,q,bclv,real_gdp,2015,1995,4,12,EA19
1996Q1,1390.4470602060385,q,bclv,real_gdp,2015,1996,1,3,EA19
1996Q2,1407.315077731621,q,bclv,real_gdp,2015,1996,2,6,EA19
1996Q3,1420.5574728731185,q,bclv,real_gdp,2015,1996,3,9,EA19
1996Q4,1423.559456916839,q,bclv,real_gdp,2015,1996,4,12,EA19
1997Q1,1422.1316012637446,q,bclv,real_gdp,2015,1997,1,3,EA19
1997Q2,1435.7212999089813,q,bclv,real_gdp,2015,1997,2,6,EA19
1997Q3,1450.2725156085335,q,bclv,real_gdp,2015,1997,3,9,EA19
1997Q4,1472.4323641050696,q,bclv,real_gdp,2015,1997,4,12,EA19
1998Q1,1479.4025616417198,q,bclv,real_gdp,2015,1998,1,3,EA19
1998Q2,1493.77037093197,q,bclv,real_gdp,2015,1998,2,6,EA19
1998Q3,1509.9200309798043,q,bclv,real_gdp,2015,1998,3,9,EA19
1998Q4,1527.4619209753291,q,bclv,real_gdp,2015,1998,4,12,EA19
1999Q1,1545.1118190618406,q,bclv,real_gdp,2015,1999,1,3,EA19
1999Q2,1556.313464470239,q,bclv,real_gdp,2015,1999,2,6,EA19
1999Q3,1577.8719171303135,q,bclv,real_gdp,2015,1999,3,9,EA19
1999Q4,1600.706486327873,q,bclv,real_gdp,2015,1999,4,12,EA19
2000Q1,1626.3878132813215,q,bclv,real_gdp,2015,2000,1,3,EA19
2000Q2,1646.824715956457,q,bclv,real_gdp,2015,2000,2,6,EA19
2000Q3,1664.4246626570848,q,bclv,real_gdp,2015,2000,3,9,EA19
2000Q4,1683.0740597007625,q,bclv,real_gdp,2015,2000,4,12,EA19
2001Q1,1713.398320848164,q,bclv,real_gdp,2015,2001,1,3,EA19
2001Q2,1724.4795174430537,q,bclv,real_gdp,2015,2001,2,6,EA19
2001Q3,1739.4601265654107,q,bclv,real_gdp,2015,2001,3,9,EA19
2001Q4,1753.6104117073216,q,bclv,real_gdp,2015,2001,4,12,EA19
2002Q1,1768.1784035326984,q,bclv,real_gdp,2015,2002,1,3,EA19
2002Q2,1782.2758156038904,q,bclv,real_gdp,2015,2002,2,6,EA19
2002Q3,1803.0431514090426,q,bclv,real_gdp,2015,2002,3,9,EA19
2002Q4,1813.1485995170353,q,bclv,real_gdp,2015,2002,4,12,EA19
2003Q1,1818.7790631851224,q,bclv,real_gdp,2015,2003,1,3,EA19
2003Q2,1831.4618143089249,q,bclv,real_gdp,2015,2003,2,6,EA19
2003Q3,1855.390695848932,q,bclv,real_gdp,2015,2003,3,9,EA19
2003Q4,1870.8628077588064,q,bclv,real_gdp,2015,2003,4,12,EA19
2004Q1,1890.691340253036,q,bclv,real_gdp,2015,2004,1,3,EA19
2004Q2,1913.6603069529926,q,bclv,real_gdp,2015,2004,2,6,EA19
2004Q3,1925.1555345633305,q,bclv,real_gdp,2015,2004,3,9,EA19
2004Q4,1942.3985644746335,q,bclv,real_gdp,2015,2004,4,12,EA19
2005Q1,1954.642308890046,q,bclv,real_gdp,2015,2005,1,3,EA19
2005Q2,1975.696158304796,q,bclv,real_gdp,2015,2005,2,6,EA19
2005Q3,1998.7096100125584,q,bclv,real_gdp,2015,2005,3,9,EA19
2005Q4,2025.6235109746651,q,bclv,real_gdp,2015,2005,4,12,EA19
2006Q1,2049.611862938243,q,bclv,real_gdp,2015,2006,1,3,EA19
2006Q2,2084.266249506488,q,bclv,real_gdp,2015,2006,2,6,EA19
2006Q3,2108.5887102681,q,bclv,real_gdp,2015,2006,3,9,EA19
2006Q4,2144.271906889756,q,bclv,real_gdp,2015,2006,4,12,EA19
2007Q1,2175.453918155891,q,bclv,real_gdp,2015,2007,1,3,EA19
2007Q2,2200.8293164327756,q,bclv,real_gdp,2015,2007,2,6,EA19
2007Q3,2222.7838930076987,q,bclv,real_gdp,2015,2007,3,9,EA19
2007Q4,2252.2424872129436,q,bclv,real_gdp,2015,2007,4,12,EA19
2008Q1,2273.4756903773864,q,bclv,real_gdp,2015,2008,1,3,EA19
2008Q2,2278.9082334598957,q,bclv,real_gdp,2015,2008,2,6,EA19
2008Q3,2272.0195603549237,q,bclv,real_gdp,2015,2008,3,9,EA19
2008Q4,2238.85626977926,q,bclv,real_gdp,2015,2008,4,12,EA19
2009Q1,2178.5584439125205,q,bclv,real_gdp,2015,2009,1,3,EA19
2009Q2,2174.934800734291,q,bclv,real_gdp,2015,2009,2,6,EA19
2009Q3,2184.3382904987693,q,bclv,real_gdp,2015,2009,3,9,EA19
2009Q4,2199.320690331186,q,bclv,real_gdp,2015,2009,4,12,EA19
2010Q1,2211.54511392753,q,bclv,real_gdp,2015,2010,1,3,EA19
2010Q2,2235.393602010634,q,bclv,real_gdp,2015,2010,2,6,EA19
2010Q3,2255.0752962799447,q,bclv,real_gdp,2015,2010,3,9,EA19
2010Q4,2273.4109420715326,q,bclv,real_gdp,2015,2010,4,12,EA19
2011Q1,2298.050170017967,q,bclv,real_gdp,2015,2011,1,3,EA19
2011Q2,2303.6551867536227,q,bclv,real_gdp,2015,2011,2,6,EA19
2011Q3,2313.9483766742205,q,bclv,real_gdp,2015,2011,3,9,EA19
2011Q4,2313.447826088505,q,bclv,real_gdp,2015,2011,4,12,EA19
2012Q1,2315.4992258340667,q,bclv,real_gdp,2015,2012,1,3,EA19
2012Q2,2315.901570110176,q,bclv,real_gdp,2015,2012,2,6,EA19
2012Q3,2321.9226913150333,q,bclv,real_gdp,2015,2012,3,9,EA19
2012Q4,2318.317803468485,q,bclv,real_gdp,2015,2012,4,12,EA19
2013Q1,2320.688232348418,q,bclv,real_gdp,2015,2013,1,3,EA19
2013Q2,2340.3929231048146,q,bclv,real_gdp,2015,2013,2,6,EA19
2013Q3,2350.4589755914876,q,bclv,real_gdp,2015,2013,3,9,EA19
2013Q4,2359.2928310610946,q,bclv,real_gdp,2015,2013,4,12,EA19
2014Q1,2381.1246968729597,q,bclv,real_gdp,2015,2014,1,3,EA19
2014Q2,2388.425704531218,q,bclv,real_gdp,2015,2014,2,6,EA19
2014Q3,2403.2725758864635,q,bclv,real_gdp,2015,2014,3,9,EA19
2014Q4,2419.373132779495,q,bclv,real_gdp,2015,2014,4,12,EA19
2015Q1,2449.2552770378757,q,bclv,real_gdp,2015,2015,1,3,EA19
2015Q2,2469.2341349292465,q,bclv,real_gdp,2015,2015,2,6,EA19
2015Q3,2488.0040750343305,q,bclv,real_gdp,2015,2015,3,9,EA19
2015Q4,2503.8100129985455,q,bclv,real_gdp,2015,2015,4,12,EA19
2016Q1,2524.1326872214336,q,bclv,real_gdp,2015,2016,1,3,EA19
2016Q2,2534.3373783659085,q,bclv,real_gdp,2015,2016,2,6,EA19
