date,value,freq,unit,var,base,year,quarter,month,country
1995Q1,1836.1688000000001,q,bclv,real_gdp,2010,1995,1,3,EA19
1995Q2,1846.6144,q,bclv,real_gdp,2010,1995,2,6,EA19
1995Q3,1853.0131000000001,q,bclv,real_gdp,2010,1995,3,9,EA19
1995Q4,1859.5582,q,bclv,real_gdp,2010,1995,4,12,EA19
1996Q1,1862.3102,q,bclv,real_gdp,2010,1996,1,3,EA19
1996Q2,1875.1218999999999,q,bclv,real_gdp,2010,1996,2,6,EA19
1996Q3,1884.388,q,bclv,real_gdp,2010,1996,3,9,EA19
1996Q4,1893.6462,q,bclv,real_gdp,2010,1996,4,12,EA19
1997Q1,1898.4891,q,bclv,real_gdp,2010,1997,1,3,EA19
1997Q2,1921.5608,q,bclv,real_gdp,2010,1997,2,6,EA19
1997Q3,1936.9648,q,bclv,real_gdp,2010,1997,3,9,EA19
1997Q4,1959.0651,q,bclv,real_gdp,2010,1997,4,12,EA19
1998Q1,1971.9218999999998,q,bclv,real_gdp,2010,1998,1,3,EA19
1998Q2,1980.4365,q,bclv,real_gdp,2010,1998,2,6,EA19
1998Q3,1991.7649,q,bclv,real_gdp,2010,1998,3,9,EA19
1998Q4,1994.4878999999999,q,bclv,real_gdp,2010,1998,4,12,EA19
1999Q1,2014.9873,q,bclv,real_gdp,2010,1999,1,3,EA19
1999Q2,2025.5675,q,bclv,real_gdp,2010,1999,2,6,EA19
1999Q3,2050.0623,q,bclv,real_gdp,2010,1999,3,9,EA19
1999Q4,2073.3826,q,bclv,real_gdp,2010,1999,4,12,EA19
2000Q1,2098.2631,q,bclv,real_gdp,2010,2000,1,3,EA19
2000Q2,2117.4867000000004,q,bclv,real_gdp,2010,2000,2,6,EA19
2000Q3,2129.9284,q,bclv,real_gdp,2010,2000,3,9,EA19
2000Q4,2143.2971000000002,q,bclv,real_gdp,2010,2000,4,12,EA19
2001Q1,2164.5332999999996,q,bclv,real_gdp,2010,2001,1,3,EA19
2001Q2,2166.8882000000003,q,bclv,real_gdp,2010,2001,2,6,EA19
2001Q3,2170.4627,q,bclv,real_gdp,2010,2001,3,9,EA19
2001Q4,2171.1745,q,bclv,real_gdp,2010,2001,4,12,EA19
2002Q1,2173.9793999999997,q,bclv,real_gdp,2010,2002,1,3,EA19
2002Q2,2185.4846000000002,q,bclv,real_gdp,2010,2002,2,6,EA19
2002Q3,2194.7272000000003,q,bclv,real_gdp,2010,2002,3,9,EA19
2002Q4,2198.8467,q,bclv,real_gdp,2010,2002,4,12,EA19
2003Q1,2191.6485,q,bclv,real_gdp,2010,2003,1,3,EA19
2003Q2,2193.3757,q,bclv,real_gdp,2010,2003,2,6,EA19
2003Q3,2206.5368,q,bclv,real_gdp,2010,2003,3,9,EA19
2003Q4,2221.4065,q,bclv,real_gdp,2010,2003,4,12,EA19
2004Q1,2232.5602000000003,q,bclv,real_gdp,2010,2004,1,3,EA19
2004Q2,2246.4891000000002,q,bclv,real_gdp,2010,2004,2,6,EA19
2004Q3,2252.232,q,bclv,real_gdp,2010,2004,3,9,EA19
2004Q4,2260.2902000000004,q,bclv,real_gdp,2010,2004,4,12,EA19
2005Q1,2265.0773,q,bclv,real_gdp,2010,2005,1,3,EA19
2005Q2,2278.8309,q,bclv,real_gdp,2010,2005,2,6,EA19
2005Q3,2296.5108999999998,q,bclv,real_gdp,2010,2005,3,9,EA19
2005Q4,2310.8139,q,bclv,real_gdp,2010,2005,4,12,EA19
2006Q1,2330.4943,q,bclv,real_gdp,2010,2006,1,3,EA19
2006Q2,2356.4482000000003,q,bclv,real_gdp,2010,2006,2,6,EA19
2006Q3,2371.2628999999997,q,bclv,real_gdp,2010,2006,3,9,EA19
2006Q4,2398.3047,q,bclv,real_gdp,2010,2006,4,12,EA19
