date,value,freq,unit,var,base,year,quarter,month,country
1950Q1,2218.5665855133384,q,bclv,gdppot,2012,1950,1,3,US
1950Q2,2248.1618216748607,q,bclv,gdppot,2012,1950,2,6,US
1950Q3,2277.0496823235985,q,bclv,gdppot,2012,1950,3,9,US
1950Q4,2306.715167343248,q,bclv,gdppot,2012,1950,4,12,US
1951Q1,2336.504742120727,q,bclv,gdppot,2012,1951,1,3,US
1951Q2,2366.2587631051106,q,bclv,gdppot,2012,1951,2,6,US
1951Q3,2397.6707251206126,q,bclv,gdppot,2012,1951,3,9,US
1951Q4,2431.2654722808084,q,bclv,gdppot,2012,1951,4,12,US
1952Q1,2466.619940020818,q,bclv,gdppot,2012,1952,1,3,US
1952Q2,2505.135031803278,q,bclv,gdppot,2012,1952,2,6,US
1952Q3,2542.1214882528125,q,bclv,gdppot,2012,1952,3,9,US
1952Q4,2577.0238198600023,q,bclv,gdppot,2012,1952,4,12,US
1953Q1,2607.723714411179,q,bclv,gdppot,2012,1953,1,3,US
1953Q2,2634.6728240498664,q,bclv,gdppot,2012,1953,2,6,US
1953Q3,2657.379982924123,q,bclv,gdppot,2012,1953,3,9,US
1953Q4,2676.802387140033,q,bclv,gdppot,2012,1953,4,12,US
1954Q1,2694.7940881716418,q,bclv,gdppot,2012,1954,1,3,US
1954Q2,2711.217515568733,q,bclv,gdppot,2012,1954,2,6,US
1954Q3,2727.099665763451,q,bclv,gdppot,2012,1954,3,9,US
1954Q4,2743.726729972923,q,bclv,gdppot,2012,1954,4,12,US
1955Q1,2760.136280384059,q,bclv,gdppot,2012,1955,1,3,US
1955Q2,2777.950764520545,q,bclv,gdppot,2012,1955,2,6,US
1955Q3,2795.4715428901036,q,bclv,gdppot,2012,1955,3,9,US
1955Q4,2813.577876253146,q,bclv,gdppot,2012,1955,4,12,US
1956Q1,2831.8410388243365,q,bclv,gdppot,2012,1956,1,3,US
1956Q2,2849.605914800772,q,bclv,gdppot,2012,1956,2,6,US
1956Q3,2868.0885798625263,q,bclv,gdppot,2012,1956,3,9,US
1956Q4,2887.854443795189,q,bclv,gdppot,2012,1956,4,12,US
1957Q1,2909.6075066918793,q,bclv,gdppot,2012,1957,1,3,US
1957Q2,2933.3188768948985,q,bclv,gdppot,2012,1957,2,6,US
1957Q3,2958.4072733382864,q,bclv,gdppot,2012,1957,3,9,US
1957Q4,2984.68361711377,q,bclv,gdppot,2012,1957,4,12,US
1958Q1,3010.817310035029,q,bclv,gdppot,2012,1958,1,3,US
1958Q2,3037.3661504749953,q,bclv,gdppot,2012,1958,2,6,US
1958Q3,3064.1780226983687,q,bclv,gdppot,2012,1958,3,9,US
1958Q4,3092.5576080328483,q,bclv,gdppot,2012,1958,4,12,US
1959Q1,3121.917182105687,q,bclv,gdppot,2012,1959,1,3,US
1959Q2,3153.2007301475346,q,bclv,gdppot,2012,1959,2,6,US
1959Q3,3186.7895646832885,q,bclv,gdppot,2012,1959,3,9,US
1959Q4,3220.7503372720225,q,bclv,gdppot,2012,1959,4,12,US
1960Q1,3255.290989239132,q,bclv,gdppot,2012,1960,1,3,US
1960Q2,3288.916717504769,q,bclv,gdppot,2012,1960,2,6,US
1960Q3,3321.957784757221,q,bclv,gdppot,2012,1960,3,9,US
1960Q4,3353.8144136619344,q,bclv,gdppot,2012,1960,4,12,US
1961Q1,3385.151548128766,q,bclv,gdppot,2012,1961,1,3,US
1961Q2,3414.679708706225,q,bclv,gdppot,2012,1961,2,6,US
1961Q3,3445.236389311352,q,bclv,gdppot,2012,1961,3,9,US
1961Q4,3476.671045608388,q,bclv,gdppot,2012,1961,4,12,US
1962Q1,3510.5898026291297,q,bclv,gdppot,2012,1962,1,3,US
1962Q2,3547.3938718604018,q,bclv,gdppot,2012,1962,2,6,US
1962Q3,3586.443273600679,q,bclv,gdppot,2012,1962,3,9,US
1962Q4,3626.6272307714758,q,bclv,gdppot,2012,1962,4,12,US
1963Q1,3666.7783913097082,q,bclv,gdppot,2012,1963,1,3,US
1963Q2,3706.6432715736055,q,bclv,gdppot,2012,1963,2,6,US
1963Q3,3746.319946920521,q,bclv,gdppot,2012,1963,3,9,US
1963Q4,3786.464723930051,q,bclv,gdppot,2012,1963,4,12,US
1964Q1,3826.8599593864005,q,bclv,gdppot,2012,1964,1,3,US
1964Q2,3868.6972347849896,q,bclv,gdppot,2012,1964,2,6,US
1964Q3,3911.458427400244,q,bclv,gdppot,2012,1964,3,9,US
1964Q4,3954.3983690771556,q,bclv,gdppot,2012,1964,4,12,US
1965Q1,3998.5057080188067,q,bclv,gdppot,2012,1965,1,3,US
1965Q2,4041.476658985673,q,bclv,gdppot,2012,1965,2,6,US
1965Q3,4085.654250238233,q,bclv,gdppot,2012,1965,3,9,US
1965Q4,4129.934918856121,q,bclv,gdppot,2012,1965,4,12,US
1966Q1,4174.51552142806,q,bclv,gdppot,2012,1966,1,3,US
1966Q2,4219.364649540319,q,bclv,gdppot,2012,1966,2,6,US
1966Q3,4264.871346323227,q,bclv,gdppot,2012,1966,3,9,US
1966Q4,4310.621230362749,q,bclv,gdppot,2012,1966,4,12,US
1967Q1,4358.020290777993,q,bclv,gdppot,2012,1967,1,3,US
1967Q2,4406.935004488715,q,bclv,gdppot,2012,1967,2,6,US
1967Q3,4457.076682528805,q,bclv,gdppot,2012,1967,3,9,US
1967Q4,4508.584299361797,q,bclv,gdppot,2012,1967,4,12,US
1968Q1,4560.321462271233,q,bclv,gdppot,2012,1968,1,3,US
1968Q2,4611.306498397506,q,bclv,gdppot,2012,1968,2,6,US
1968Q3,4662.80961209689,q,bclv,gdppot,2012,1968,3,9,US
1968Q4,4714.6630605870505,q,bclv,gdppot,2012,1968,4,12,US
