date,value,freq,unit,var,base,year,quarter,month,country
1947Q1,243.164,q,beur,nominal_gdp,,1947,1,3,US
1947Q2,245.968,q,beur,nominal_gdp,,1947,2,6,US
1947Q3,249.585,q,beur,nominal_gdp,,1947,3,9,US
1947Q4,259.745,q,beur,nominal_gdp,,1947,4,12,US
1948Q1,265.742,q,beur,nominal_gdp,,1948,1,3,US
1948Q2,272.567,q,beur,nominal_gdp,,1948,2,6,US
1948Q3,279.196,q,beur,nominal_gdp,,1948,3,9,US
1948Q4,280.366,q,beur,nominal_gdp,,1948,4,12,US
1949Q1,275.034,q,beur,nominal_gdp,,1949,1,3,US
1949Q2,271.351,q,beur,nominal_gdp,,1949,2,6,US
1949Q3,272.889,q,beur,nominal_gdp,,1949,3,9,US
1949Q4,270.627,q,beur,nominal_gdp,,1949,4,12,US
1950Q1,280.828,q,beur,nominal_gdp,,1950,1,3,US
1950Q2,290.383,q,beur,nominal_gdp,,1950,2,6,US
1950Q3,308.153,q,beur,nominal_gdp,,1950,3,9,US
1950Q4,319.945,q,beur,nominal_gdp,,1950,4,12,US
1951Q1,336.0,q,beur,nominal_gdp,,1951,1,3,US
1951Q2,344.09,q,beur,nominal_gdp,,1951,2,6,US
1951Q3,351.385,q,beur,nominal_gdp,,1951,3,9,US
1951Q4,356.178,q,beur,nominal_gdp,,1951,4,12,US
1952Q1,359.82,q,beur,nominal_gdp,,1952,1,3,US
1952Q2,361.03,q,beur,nominal_gdp,,1952,2,6,US
1952Q3,367.701,q,beur,nominal_gdp,,1952,3,9,US
1952Q4,380.812,q,beur,nominal_gdp,,1952,4,12,US
1953Q1,387.98,q,beur,nominal_gdp,,1953,1,3,US
1953Q2,391.749,q,beur,nominal_gdp,,1953,2,6,US
1953Q3,391.171,q,beur,nominal_gdp,,1953,3,9,US
1953Q4,385.97,q,beur,nominal_gdp,,1953,4,12,US
1954Q1,385.345,q,beur,nominal_gdp,,1954,1,3,US
1954Q2,386.121,q,beur,nominal_gdp,,1954,2,6,US
1954Q3,390.996,q,beur,nominal_gdp,,1954,3,9,US
1954Q4,399.734,q,beur,nominal_gdp,,1954,4,12,US
1955Q1,413.073,q,beur,nominal_gdp,,1955,1,3,US
1955Q2,421.532,q,beur,nominal_gdp,,1955,2,6,US
