,value,year,country,var,full_name,freq,unit,base,quarter,month
1947Q1,,1947,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1947Q2,,1947,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1947Q3,,1947,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1947Q4,,1947,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1948Q1,,1948,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1948Q2,,1948,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1948Q3,,1948,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1948Q4,,1948,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1949Q1,,1949,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1949Q2,,1949,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1949Q3,,1949,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1949Q4,,1949,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1950Q1,-1.462095768663474,1950,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1950Q2,0.21697204480055632,1950,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1950Q3,2.7318185426214114,1950,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1950Q4,3.3341073755492445,1950,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1951Q1,3.3999652611844233,1951,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1951Q2,3.852434034864416,1951,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1951Q3,4.57372083520724,1951,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1951Q4,3.4023124750047096,1951,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1952Q1,3.0214908145495656,1952,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1952Q2,1.6872688758343912,1952,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1952Q3,0.9408926278511309,1952,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1952Q4,2.808709340351534,1952,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1953Q1,3.466258458744509,1953,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1953Q2,3.208093805765877,1953,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1953Q3,1.7856618110540623,1953,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1953Q4,-0.4680833422374242,1953,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1954Q1,-1.6171387454757102,1954,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1954Q2,-2.115806446069879,1954,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1954Q3,-1.5768745969291231,1954,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1954Q4,-0.24693012918373114,1954,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1955Q1,1.972980712934369,1955,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1955Q2,2.9437420410177495,1955,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1955Q3,3.656440734326516,1955,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1955Q4,3.6093609601926424,1955,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1956Q1,2.573213846939826,1956,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1956Q2,2.770771414607953,1956,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1956Q3,2.034381578427169,1956,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1956Q4,2.980046921835733,1956,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1957Q1,2.867859394085226,1957,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1957Q2,1.8369021445262312,1957,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1957Q3,1.9604959410333578,1957,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1957Q4,0.03655943264586625,1957,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1958Q1,-3.4649388486715615,1958,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1958Q2,-3.687779294252369,1958,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
1958Q3,-2.2797725065741403,1958,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,3,9
1958Q4,-0.890488182318272,1958,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,4,12
1959Q1,0.06598951500169647,1959,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,1,3
1959Q2,1.299031335161871,1959,US,GAP,Output gap as a percentage of potential GDP,q,percentage,2010,2,6
